wind_speed_10m_ms,wind_gusts_10m_ms
2.800,7.000
2.720,6.800
3.640,8.400
3.710,8.500
3.590,8.400
4.010,8.800
4.050,9.100
3.910,8.800
3.460,8.200
2.720,7.100
2.010,5.500
1.550,4.000
1.560,3.400
1.240,3.100
0.960,2.400
0.850,1.600
1.100,2.100
1.270,2.500
1.420,2.800
1.490,2.800
1.730,3.800
1.690,4.300
2.240,5.600
2.400,6.300
2.450,6.400
2.550,6.400
2.460,6.500
2.830,6.900
2.700,6.900
2.180,6.600
1.940,5.400
2.830,6.200
2.430,6.300
1.910,5.100
2.340,4.500
2.370,5.000
2.210,4.700
2.020,4.300
2.120,4.000
2.150,4.000
2.180,4.200
2.200,4.200
2.130,4.200
2.220,4.200
2.480,5.400
2.470,5.600
2.420,6.000
2.460,6.400
2.660,6.900
2.880,7.400
3.110,7.800
2.370,7.000
2.980,7.500
3.380,8.100
4.110,9.300
4.550,9.900
4.040,9.700
3.590,8.200
3.720,7.600
3.140,7.600
3.000,6.400
2.850,6.200
2.670,5.800
2.370,5.000
1.790,4.800
1.680,3.700
2.550,5.100
2.560,5.400
3.310,7.100
3.220,7.500
3.330,7.400
3.560,8.200
3.120,8.500
2.730,7.800
2.380,7.200
3.140,7.900
3.200,7.900
4.010,9.400
3.910,9.400
3.460,9.000
2.600,7.500
3.290,6.500
3.380,7.400
2.910,6.900
2.690,5.900
2.660,5.500
2.490,5.400
2.320,5.400
2.190,4.600
2.250,4.400
2.490,4.900
3.000,5.900
3.690,7.400
4.220,8.700
4.660,10.200
4.270,10.200
3.970,9.700
5.000,11.400
5.160,11.600
5.850,13.600
5.550,13.200
5.350,12.300
5.210,11.900
5.450,12.500
4.650,11.400
3.840,10.400
3.550,8.000
2.550,7.300
1.710,5.100
2.110,4.200
1.940,5.200
1.240,3.600
1.220,2.200
0.350,2.000
0.050,0.500
0.590,1.000
1.360,2.400
2.330,4.700
2.710,5.800
3.690,8.100
4.380,10.000
4.400,10.100
4.010,10.200
3.820,9.800
3.570,9.200
4.200,9.500
3.460,9.600
3.160,7.800
2.870,7.000
1.010,5.900
1.060,2.000
1.060,2.400
0.760,1.900
0.290,1.400
0.320,0.700
2.140,4.400
2.000,3.800
1.710,3.400
1.560,2.800
1.760,2.800
2.410,4.000
2.980,5.800
3.680,8.200
3.500,8.400
3.490,8.100
3.600,8.600
3.720,8.900
3.400,8.900
3.730,8.600
4.190,9.800
3.860,9.700
3.800,8.900
2.970,8.200
1.350,6.000
0.900,2.700
0.500,1.500
0.360,0.900
0.320,0.600
0.300,0.600
0.450,0.700
0.560,0.800
0.650,0.900
1.030,1.400
1.520,2.300
2.150,3.800
1.690,4.100
1.580,4.600
1.220,4.500
2.300,6.000
2.910,7.200
3.640,8.700
2.820,7.400
2.820,7.300
2.740,7.200
2.660,6.800
2.650,6.400
2.710,6.300
1.440,5.500
1.330,2.400
1.410,2.300
0.970,2.300
0.720,1.500
0.780,1.100
0.890,1.200
1.030,1.500
1.220,1.700
1.390,2.000
1.220,2.000
1.560,2.600
1.520,3.800
1.250,3.900
1.610,4.700
1.680,5.200
1.600,5.300
1.560,5.200
1.750,5.400
2.110,5.900
2.020,5.900
2.250,5.700
2.060,5.500
1.570,4.500
1.690,3.100
1.700,3.000
1.810,2.900
2.130,3.800
2.340,4.500
2.240,4.400
2.510,4.600
2.580,4.800
2.690,5.100
2.530,5.100
2.310,4.700
2.770,5.200
2.930,5.500
2.270,5.400
2.370,6.000
2.610,6.500
3.020,7.300
3.390,7.800
3.890,9.100
3.930,9.100
4.240,10.000
4.070,9.700
4.180,9.400
3.700,8.900
4.220,8.700
4.360,9.100
3.630,8.700
3.580,7.200
3.150,7.100
3.020,6.300
2.870,6.500
2.740,5.700
2.750,5.500
2.700,5.500
2.220,5.300
2.850,5.500
2.850,6.900
2.690,6.500
2.870,7.200
3.110,9.400
4.090,9.400
4.270,9.900
3.820,8.900
2.930,8.700
2.870,7.200
2.550,6.900
1.610,6.200
0.740,3.500
0.650,1.600
0.070,1.000
0.600,1.000
0.710,1.000
1.000,1.400
1.060,1.600
0.930,1.200
1.680,2.800
1.900,3.600
1.650,3.500
1.480,2.800
1.330,2.300
0.850,3.200
0.780,2.700
2.780,7.900
3.580,9.300
4.190,9.900
4.130,10.300
2.660,9.000
3.690,9.300
3.790,9.300
3.730,8.700
3.780,8.100
2.120,7.600
1.690,4.300
1.570,2.800
2.120,3.900
2.700,5.400
3.000,5.900
2.950,6.000
3.000,6.000
2.970,6.100
2.230,5.800
2.330,4.400
2.600,5.000
3.190,6.100
2.950,6.400
3.450,7.600
3.650,8.400
4.950,10.400
5.260,11.200
4.950,11.300
5.680,12.700
5.380,12.300
4.760,11.200
4.490,10.800
2.970,8.900
2.650,6.400
2.090,5.700
3.180,5.300
3.040,7.100
2.980,5.400
2.900,6.100
2.690,5.300
2.690,5.100
3.190,5.500
2.830,7.400
3.550,6.600
4.070,7.500
3.910,7.600
4.200,7.700
3.830,8.300
4.220,9.000
4.390,9.800
4.170,9.900
4.210,10.300
4.380,10.100
4.620,10.100
4.180,10.200
4.180,8.900
3.260,8.700
2.390,6.500
2.890,5.500
3.630,7.100
4.500,9.000
4.480,9.000
4.800,9.900
4.070,9.600
4.570,9.700
4.260,9.200
4.360,8.400
4.320,8.400
3.860,8.300
3.670,7.400
3.230,7.100
3.380,7.800
3.050,7.400
3.070,7.500
3.580,8.100
2.580,8.200
3.410,7.700
2.820,7.400
4.310,9.000
3.690,8.700
2.320,7.500
0.850,4.500
0.890,1.300
1.200,2.100
1.260,2.100
