flow_veh_per_h,time_mean_speed_kmh
1427.0,81.32025227750526
1164.0,81.90807560137458
794.0,85.77707808564232
624.0,86.28525641025641
575.0,86.55652173913043
437.0,83.8558352402746
235.0,80.50638297872341
125.0,79.936
151.0,77.12582781456953
207.0,76.90821256038647
302.0,76.55629139072848
497.0,77.98993963782696
822.0,77.50486618004867
857.0,79.85647607934656
1127.0,81.5031055900621
1119.0,81.4396782841823
1283.0,80.45830085736554
985.0,80.73502538071067
996.0,79.8433734939759
728.0,80.41071428571429
611.0,80.73486088379705
772.0,80.57642487046633
245.0,81.17959183673469
179.0,81.08379888268156
170.0,82.87058823529412
75.0,81.62666666666667
58.0,83.01724137931035
45.0,83.4888888888889
61.0,82.22950819672131
101.0,80.81188118811882
328.0,82.44817073170732
704.0,82.1590909090909
1175.0,81.64170212765957
1279.0,81.573885848319
1241.0,80.8372280419017
1349.0,81.65085248332097
1555.0,81.10418006430868
1675.0,82.17671641791044
2180.0,80.68715596330276
2679.0,79.48749533407988
2690.0,78.79702602230483
2061.0,79.30082484230955
1661.0,80.70258880192655
1231.0,81.96669374492282
949.0,81.71338250790306
1048.0,81.50763358778626
451.0,82.42572062084257
236.0,81.52542372881356
214.0,80.35514018691589
117.0,80.05982905982906
80.0,80.4875
63.0,82.3015873015873
59.0,81.15254237288136
100.0,81.82
323.0,82.93188854489163
715.0,82.01818181818182
1155.0,80.79567099567099
1291.0,81.24322230828815
1271.0,82.17230527143981
1504.0,81.45877659574468
1744.0,78.89105504587155
1902.0,79.5410094637224
2311.0,68.46819558632626
2599.0,73.59753751442862
2492.0,72.3868378812199
1948.0,73.0805954825462
1716.0,76.21853146853147
1279.0,77.33541829554339
1034.0,79.02417794970987
1068.0,77.97940074906367
536.0,78.77425373134328
421.0,80.91923990498812
385.0,80.1896103896104
263.0,78.99239543726236
193.0,80.860103626943
153.0,80.45098039215686
138.0,80.80434782608695
103.0,80.98058252427184
103.0,81.2621359223301
219.0,82.10958904109589
392.0,80.15561224489795
698.0,81.18338108882521
1130.0,80.15929203539822
1410.0,80.04326241134751
1588.0,79.88664987405542
1756.0,79.36845102505694
2063.0,78.08095007270964
2005.0,78.00349127182045
1915.0,76.41932114882506
1498.0,77.66889185580774
1406.0,79.11308677098151
1139.0,78.9297629499561
884.0,80.25339366515837
1052.0,79.11977186311788
